ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
K903,Pancreatic steatorrhoea,Pancreatic steatorrhoea,Pancreatic steatorrhoea,Pancreatic steatorrhoea,Esteatorréia pancreática,K90.3 Esteatorreia pancreatica
K904,"Malabsorption due to intolerance, not elsewhere classified","Malabsorption due to intolerance, not elsewhere classified","Malabsorption due to intolerance, not elsewhere classified","Malabsorption due to intolerance, not elsewhere classified",Má-absorção devida a intolerância não classificada em outra parte,K90.4 Ma-absorcao dev intolerancia NCOP
K908,Other intestinal malabsorption,Other intestinal malabsorption,Other intestinal malabsorption,Other intestinal malabsorption,Outras formas de má-absorção intestinal,K90.8 Outr form de ma-absorcao intestinal
K909,"Intestinal malabsorption, unspecified","Intestinal malabsorption, unspecified","Intestinal malabsorption, unspecified","Intestinal malabsorption, unspecified","Má-absorção intestinal, sem outra especificação",K90.9 Ma-absorcao intestinal SOE
K91,"Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified","Postprocedural disorders of digestive system, not elsewhere classified","Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte",K91   Transt do aparelho digestivo pos-proced NCOP
K910,Vomiting following gastrointestinal surgery,Vomiting following gastrointestinal surgery,Vomiting following gastrointestinal surgery,Vomiting following gastrointestinal surgery,Vômitos pós-cirurgia gastrointestinal,K91.0 Vomitos pos-cirurgia gastrointestinal
K911,Postgastric surgery syndromes,Postgastric surgery syndromes,Postgastric surgery syndromes,Postgastric surgery syndromes,Síndromes pós-cirurgia gástrica,K91.1 Sindr pos-cirurgia gastrica
K912,"Postsurgical malabsorption, not elsewhere classified","Postsurgical malabsorption, not elsewhere classified","Postsurgical malabsorption, not elsewhere classified","Postsurgical malabsorption, not elsewhere classified",Má-absorção pós-cirúrgica não classificada em outra parte,K91.2 Ma-absorcao pos-cirurgica NCOP
K913,Postoperative intestinal obstruction,Postoperative intestinal obstruction,Postoperative intestinal obstruction,Postoperative intestinal obstruction,Obstrução intestinal pós-operatória,K91.3 Obstrucao intestinal pos-operatoria
K914,Colostomy and enterostomy malfunction,Colostomy and enterostomy malfunction,Colostomy and enterostomy malfunction,Colostomy and enterostomy malfunction,Mau funcionamento de colostomia e enterostomia,K91.4 Mau funcionamento colostomia e enterostomia
K915,Postcholecystectomy syndrome,Postcholecystectomy syndrome,Postcholecystectomy syndrome,Postcholecystectomy syndrome,Síndrome pós-colecistectomia,K91.5 Sindr pos-colecistectomia
K918,"Other postprocedural disorders of digestive system, not elsewhere classified","Other postprocedural disorders of digestive system, not elsewhere classified","Other postprocedural disorders of digestive system, not elsewhere classified","Other postprocedural disorders of digestive system, not elsewhere classified","Outros transtornos do aparelho digestivo, pós-cirúrgicos, não classificados em outra parte",K91.8 Outr transt aparelho digest pos-cirurg NCOP
K919,"Postprocedural disorder of digestive system, unspecified","Postprocedural disorder of digestive system, unspecified","Postprocedural disorder of digestive system, unspecified","Postprocedural disorder of digestive system, unspecified",Transtorno do aparelho digestivo pós procedimento,K91.9 Transt do aparelho digestivo pos proced
K92,Other diseases of digestive system,Other diseases of digestive system,Other diseases of digestive system,Other diseases of digestive system,Outras doenças do aparelho digestivo,K92   Outr doenc do aparelho digestivo
K920,Haematemesis,Haematemesis,Haematemesis,Haematemesis,Hematêmese,K92.0 Hematemese
K921,Melaena,Melaena,Melaena,Melaena,Melena,K92.1 Melena
K922,"Gastrointestinal haemorrhage, unspecified","Gastrointestinal haemorrhage, unspecified","Gastrointestinal haemorrhage, unspecified","Gastrointestinal haemorrhage, unspecified","Hemorragia gastrointestinal, sem outra especificação",K92.2 Hemorragia gastrointestinal SOE
K928,Other specified diseases of digestive system,Other specified diseases of digestive system,Other specified diseases of digestive system,Other specified diseases of digestive system,Outras doenças especificadas do aparelho digestivo,K92.8 Outr doenc espec do aparelho digestivo
K929,"Disease of digestive system, unspecified","Disease of digestive system, unspecified","Disease of digestive system, unspecified","Disease of digestive system, unspecified","Doença do aparelho digestivo, sem outra especificação",K92.9 Doenc do aparelho digestivo SOE
K93,Disorders of other digestive organs in diseases classified elsewhere,Disorders of other digestive organs in diseases classified elsewhere,Disorders of other digestive organs in diseases classified elsewhere,Disorders of other digestive organs in diseases classified elsewhere,Transtornos de outros órgãos digestivos em doenças classificadas em outra parte,K93   Transt de outr orgaos digestivos doenc COP
K930,"Tuberculous disorders of intestines, peritoneum and mesenteric glands","Tuberculous disorders of intestines, peritoneum and mesenteric glands","Tuberculous disorders of intestines, peritoneum and mesenteric glands","Tuberculous disorders of intestines, peritoneum and mesenteric glands","Transtornos devido a tuberculose do intestino, do peritônio e dos gânglios do mesentério",K93.0 Transt dev tuberc intest perit gangl mesent
K931,Megacolon in Chagas' disease,Megacolon in Chagas' disease,Megacolon in Chagas' disease,Megacolon in Chagas' disease,Megacólon na doença de Chagas,K93.1 Megacolon na doenc de Chagas
K938,Disorders of other specified digestive organs in diseases classified elsewhere,Disorders of other specified digestive organs in diseases classified elsewhere,Disorders of other specified digestive organs in diseases classified elsewhere,Disorders of other specified digestive organs in diseases classified elsewhere,Transtornos de outros órgãos digestivos especificados em doenças classificadas em outra parte,K93.8 Transt outr org digestivos espec doenc COP
L00,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,Síndrome da pele escaldada estafilocócica do recém-nascido,L00   Sindr pele escaldada estafilococ recem-nasc
L01,Impetigo,Impetigo,Impetigo,Impetigo,Impetigo,L01   Impetigo
L010,Impetigo [any organism] [any site],Impetigo [any organism] [any site],Impetigo [any organism] [any site],Impetigo [any organism] [any site],Impetigo [qualquer localização] [qualquer microorganismo],L01.0 Impetigo
L011,Impetiginization of other dermatoses,Impetiginization of other dermatoses,Impetiginization of other dermatoses,Impetiginization of other dermatoses,Impetiginização de outras dermatoses,L01.1 Impetiginizacao de outr dermatoses
L02,"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle","Abscesso cutâneo, furúnculo e antraz",L02   Abscesso cutaneo furunculo e antraz
L020,"Cutaneous abscess, furuncle and carbuncle of face","Cutaneous abscess, furuncle and carbuncle of face","Cutaneous abscess, furuncle and carbuncle of face","Cutaneous abscess, furuncle and carbuncle of face","Abscesso cutâneo, furúnculo e antraz da face",L02.0 Abscesso cutaneo furunculo e antraz face
L021,"Cutaneous abscess, furuncle and carbuncle of neck","Cutaneous abscess, furuncle and carbuncle of neck","Cutaneous abscess, furuncle and carbuncle of neck","Cutaneous abscess, furuncle and carbuncle of neck","Abscesso cutâneo, furúnculo e antraz do pescoço",L02.1 Abscesso cutaneo furunculo e antraz pescoco
L022,"Cutaneous abscess, furuncle and carbuncle of trunk","Cutaneous abscess, furuncle and carbuncle of trunk","Cutaneous abscess, furuncle and carbuncle of trunk","Cutaneous abscess, furuncle and carbuncle of trunk","Abscesso cutâneo, furúnculo e antraz do tronco",L02.2 Abscesso cutaneo furunculo e antraz tronco
L023,"Cutaneous abscess, furuncle and carbuncle of buttock","Cutaneous abscess, furuncle and carbuncle of buttock","Cutaneous abscess, furuncle and carbuncle of buttock","Cutaneous abscess, furuncle and carbuncle of buttock","Abscesso cutâneo, furúnculo e antraz da nádega",L02.3 Abscesso cutaneo furunculo e antraz nadega
L024,"Cutaneous abscess, furuncle and carbuncle of limb","Cutaneous abscess, furuncle and carbuncle of limb","Cutaneous abscess, furuncle and carbuncle of limb","Cutaneous abscess, furuncle and carbuncle of limb","Abscesso cutâneo, furúnculo e antraz do(s) membro(s)",L02.4 Abscesso cutaneo furunculo e antraz membros
L028,"Cutaneous abscess, furuncle and carbuncle of other sites","Cutaneous abscess, furuncle and carbuncle of other sites","Cutaneous abscess, furuncle and carbuncle of other sites","Cutaneous abscess, furuncle and carbuncle of other sites","Abscesso cutâneo, furúnculo e antraz de outras localizações",L02.8 Abscesso cutaneo furunculo e antraz outr loc
L029,"Cutaneous abscess, furuncle and carbuncle, unspecified","Cutaneous abscess, furuncle and carbuncle, unspecified","Cutaneous abscess, furuncle and carbuncle, unspecified","Cutaneous abscess, furuncle and carbuncle, unspecified","Abscesso cutâneo, furúnculo e antraz de localização não especificada",L02.9 Abscesso cutaneo furunculo e antraz loc NE
L03,Cellulitis,Cellulitis,Cellulitis,Cellulitis,Celulite (Flegmão),L03   Celulite
L030,Cellulitis of finger and toe,Cellulitis of finger and toe,Cellulitis of finger and toe,Cellulitis of finger and toe,Celulite de dedos das mãos e dos pés,L03.0 Celulite de dedos das maos e dos pes
L031,Cellulitis of other parts of limb,Cellulitis of other parts of limb,Cellulitis of other parts of limb,Cellulitis of other parts of limb,Celulite de outras partes do(s) membro(s),L03.1 Celulite de outr partes de membros
L032,Cellulitis of face,Cellulitis of face,Cellulitis of face,Cellulitis of face,Celulite da face,L03.2 Celulite da face
L033,Cellulitis of trunk,Cellulitis of trunk,Cellulitis of trunk,Cellulitis of trunk,Celulite do tronco,L03.3 Celulite do tronco
L038,Cellulitis of other sites,Cellulitis of other sites,Cellulitis of other sites,Cellulitis of other sites,Celulite de outros locais,L03.8 Celulite de outr locais
L039,"Cellulitis, unspecified","Cellulitis, unspecified","Cellulitis, unspecified","Cellulitis, unspecified",Celulite não especificada,L03.9 Celulite NE
L04,Acute lymphadenitis,Acute lymphadenitis,Acute lymphadenitis,Acute lymphadenitis,Linfadenite aguda,L04   Linfadenite aguda
L040,"Acute lymphadenitis of face, head and neck","Acute lymphadenitis of face, head and neck","Acute lymphadenitis of face, head and neck","Acute lymphadenitis of face, head and neck","Linfadenite aguda de face, cabeça e pescoço",L04.0 Linfadenite aguda de face cabeca e pescoco
L041,Acute lymphadenitis of trunk,Acute lymphadenitis of trunk,Acute lymphadenitis of trunk,Acute lymphadenitis of trunk,Linfadenite aguda do tronco,L04.1 Linfadenite aguda do tronco
L042,Acute lymphadenitis of upper limb,Acute lymphadenitis of upper limb,Acute lymphadenitis of upper limb,Acute lymphadenitis of upper limb,Linfadenite aguda de membro superior,L04.2 Linfadenite aguda de membro super
L043,Acute lymphadenitis of lower limb,Acute lymphadenitis of lower limb,Acute lymphadenitis of lower limb,Acute lymphadenitis of lower limb,Linfadenite aguda de membro inferior,L04.3 Linfadenite aguda de membro infer
L048,Acute lymphadenitis of other sites,Acute lymphadenitis of other sites,Acute lymphadenitis of other sites,Acute lymphadenitis of other sites,Linfadenite aguda de outras localizações,L04.8 Linfadenite aguda de outr localiz
L049,"Acute lymphadenitis, unspecified","Acute lymphadenitis, unspecified","Acute lymphadenitis, unspecified","Acute lymphadenitis, unspecified",Linfadenite aguda de localização não especificada,L04.9 Linfadenite aguda de localiz NE
L05,Pilonidal cyst,Pilonidal cyst,Pilonidal cyst,Pilonidal cyst,Cisto pilonidal,L05   Cisto pilonidal
L050,Pilonidal cyst with abscess,Pilonidal cyst with abscess,Pilonidal cyst with abscess,Pilonidal cyst with abscess,Cisto pilonidal com abscesso,L05.0 Cisto pilonidal c/abscesso
L059,Pilonidal cyst without abscess,Pilonidal cyst without abscess,Pilonidal cyst without abscess,Pilonidal cyst without abscess,Cisto pilonidal sem abscesso,L05.9 Cisto pilonidal s/abscesso
L08,Other local infections of skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue,Outras infecções localizadas da pele e do tecido subcutâneo,L08   Outr infecc localiz pele e tec subcutaneo
L080,Pyoderma,Pyoderma,Pyoderma,Pyoderma,Piodermite,L08.0 Piodermite
L081,Erythrasma,Erythrasma,Erythrasma,Erythrasma,Eritrasma,L08.1 Eritrasma
L088,Other specified local infections of skin and subcutaneous tissue,Other specified local infections of skin and subcutaneous tissue,Other specified local infections of skin and subcutaneous tissue,Other specified local infections of skin and subcutaneous tissue,"Outras infecções localizadas, especificadas, da pele e do tecido subcutâneo",L08.8 Outr infecc local espec pele tec subcutaneo
L089,"Local infection of skin and subcutaneous tissue, unspecified","Local infection of skin and subcutaneous tissue, unspecified","Local infection of skin and subcutaneous tissue, unspecified","Local infection of skin and subcutaneous tissue, unspecified","Infecção localizada da pele e do tecido subcutâneo, não especificada",L08.9 Infecc localiz pele e do tec subcutaneo NE
L10,Pemphigus,Pemphigus,Pemphigus,Pemphigus,Pênfigo,L10   Penfigo
L100,Pemphigus vulgaris,Pemphigus vulgaris,Pemphigus vulgaris,Pemphigus vulgaris,Pênfigo vulgar,L10.0 Penfigo vulgar
L101,Pemphigus vegetans,Pemphigus vegetans,Pemphigus vegetans,Pemphigus vegetans,Pênfigo vegetante,L10.1 Penfigo vegetante
L102,Pemphigus foliaceus,Pemphigus foliaceus,Pemphigus foliaceus,Pemphigus foliaceus,Pênfigo foliáceo,L10.2 Penfigo foliaceo
L103,Brazilian pemphigus [fogo selvagem],Brazilian pemphigus [fogo selvagem],Brazilian pemphigus [fogo selvagem],Brazilian pemphigus [fogo selvagem],Pênfigo brasileiro [fogo selvagem],L10.3 Penfigo brasileiro
L104,Pemphigus erythematosus,Pemphigus erythematosus,Pemphigus erythematosus,Pemphigus erythematosus,Pênfigo eritematoso,L10.4 Penfigo eritematoso
L105,Drug-induced pemphigus,Drug-induced pemphigus,Drug-induced pemphigus,Drug-induced pemphigus,Pênfigo induzido por drogas,L10.5 Penfigo induz p/drogas
L108,Other pemphigus,Other pemphigus,Other pemphigus,Other pemphigus,Outras formas de pênfigo,L10.8 Outr form de penfigo
L109,"Pemphigus, unspecified","Pemphigus, unspecified","Pemphigus, unspecified","Pemphigus, unspecified","Pênfigo, não especificado",L10.9 Penfigo NE
L11,Other acantholytic disorders,Other acantholytic disorders,Other acantholytic disorders,Other acantholytic disorders,Outras afecções acantolíticas,L11   Outr afeccoes acantoliticas
L110,Acquired keratosis follicularis,Acquired keratosis follicularis,Acquired keratosis follicularis,Acquired keratosis follicularis,Ceratose folicular adquirida,L11.0 Ceratose folicular adquir
L111,Transient acantholytic dermatosis [Grover],Transient acantholytic dermatosis [Grover],Transient acantholytic dermatosis [Grover],Transient acantholytic dermatosis [Grover],Dermatose acantolítica transitória [Grover],L11.1 Dermatose acantolitica transitoria
L118,Other specified acantholytic disorders,Other specified acantholytic disorders,Other specified acantholytic disorders,Other specified acantholytic disorders,Outras afecções acantolíticas especificadas,L11.8 Outr afeccoes acantoliticas espec
L119,"Acantholytic disorder, unspecified","Acantholytic disorder, unspecified","Acantholytic disorder, unspecified","Acantholytic disorder, unspecified",Afecções acantolíticas não especificadas,L11.9 Afeccoes acantoliticas NE
L12,Pemphigoid,Pemphigoid,Pemphigoid,Pemphigoid,Penfigóide,L12   Penfigoide
L120,Bullous pemphigoid,Bullous pemphigoid,Bullous pemphigoid,Bullous pemphigoid,Penfigóide bolhoso,L12.0 Penfigoide bolhoso
L121,Cicatricial pemphigoid,Cicatricial pemphigoid,Cicatricial pemphigoid,Cicatricial pemphigoid,Penfigóide cicatricial,L12.1 Penfigoide cicatricial
L122,Chronic bullous disease of childhood,Chronic bullous disease of childhood,Chronic bullous disease of childhood,Chronic bullous disease of childhood,Doença bolhosa crônica da infância,L12.2 Doenc bolhosa cronica da infancia
L123,Acquired epidermolysis bullosa,Acquired epidermolysis bullosa,Acquired epidermolysis bullosa,Acquired epidermolysis bullosa,Epidermólise bolhosa adquirida,L12.3 Epidermolise bolhosa adquir
L128,Other pemphigoid,Other pemphigoid,Other pemphigoid,Other pemphigoid,Outras formas de penfigóide,L12.8 Outr form de penfigoide
L129,"Pemphigoid, unspecified","Pemphigoid, unspecified","Pemphigoid, unspecified","Pemphigoid, unspecified","Penfigóide, não especificado",L12.9 Penfigoide NE
L13,Other bullous disorders,Other bullous disorders,Other bullous disorders,Other bullous disorders,Outras afecções bolhosas,L13   Outr afeccoes bolhosas
L130,Dermatitis herpetiformis,Dermatitis herpetiformis,Dermatitis herpetiformis,Dermatitis herpetiformis,Dermatite herpetiforme,L13.0 Dermatite herpetiforme
L131,Subcorneal pustular dermatitis,Subcorneal pustular dermatitis,Subcorneal pustular dermatitis,Subcorneal pustular dermatitis,Dermatite pustular subcorneana,L13.1 Dermatite pustular subcorneana
L138,Other specified bullous disorders,Other specified bullous disorders,Other specified bullous disorders,Other specified bullous disorders,Outras afecções bolhosas especificadas,L13.8 Outr afeccoes bolhosas espec
L139,"Bullous disorder, unspecified","Bullous disorder, unspecified","Bullous disorder, unspecified","Bullous disorder, unspecified","Doença bolhosa, não especificada",L13.9 Doenc bolhosa NE
L14,Bullous disorders in diseases classified elsewhere,Bullous disorders in diseases classified elsewhere,Bullous disorders in diseases classified elsewhere,Bullous disorders in diseases classified elsewhere,Afecções bolhosas em doenças classificadas em outra parte,L14   Afeccoes bolhosas em doenc COP
L20,Atopic dermatitis,Atopic dermatitis,Atopic dermatitis,Atopic dermatitis,Dermatite atópica,L20   Dermatite atopica
L200,Besnier's prurigo,Besnier's prurigo,Besnier's prurigo,Besnier's prurigo,Prurigo de Besnier,L20.0 Prurigo de Besnier
L208,Other atopic dermatitis,Other atopic dermatitis,Other atopic dermatitis,Other atopic dermatitis,Outras dermatites atópicas,L20.8 Outr dermatites atopicas
L209,"Atopic dermatitis, unspecified","Atopic dermatitis, unspecified","Atopic dermatitis, unspecified","Atopic dermatitis, unspecified","Dermatite atópica, não especificada",L20.9 Dermatite atopica NE
L21,Seborrhoeic dermatitis,Seborrhoeic dermatitis,Seborrhoeic dermatitis,Seborrhoeic dermatitis,Dermatite seborréica,L21   Dermatite seborreica
L210,Seborrhoea capitis,Seborrhoea capitis,Seborrhoea capitis,Seborrhoea capitis,Seborréia do couro cabeludo,L21.0 Seborreia do couro cabeludo
L211,Seborrhoeic infantile dermatitis,Seborrhoeic infantile dermatitis,Seborrhoeic infantile dermatitis,Seborrhoeic infantile dermatitis,Dermatite seborréica infantil,L21.1 Dermatite seborreica infantil
L218,Other seborrhoeic dermatitis,Other seborrhoeic dermatitis,Other seborrhoeic dermatitis,Other seborrhoeic dermatitis,Outras dermatites seborréicas,L21.8 Outr dermatites seborreicas
L219,"Seborrhoeic dermatitis, unspecified","Seborrhoeic dermatitis, unspecified","Seborrhoeic dermatitis, unspecified","Seborrhoeic dermatitis, unspecified","Dermatite seborréica, não especificada",L21.9 Dermatite seborreica NE
L22,Diaper [napkin] dermatitis,Diaper [napkin] dermatitis,Diaper [napkin] dermatitis,Diaper [napkin] dermatitis,Dermatite das fraldas,L22   Dermatite das fraldas
L23,Allergic contact dermatitis,Allergic contact dermatitis,Allergic contact dermatitis,Allergic contact dermatitis,Dermatites alérgicas de contato,L23   Dermatites alergicas de contato
L230,Allergic contact dermatitis due to metals,Allergic contact dermatitis due to metals,Allergic contact dermatitis due to metals,Allergic contact dermatitis due to metals,Dermatite alérgica de contato devida a metais,L23.0 Dermatite alergica de contato dev metais
L231,Allergic contact dermatitis due to adhesives,Allergic contact dermatitis due to adhesives,Allergic contact dermatitis due to adhesives,Allergic contact dermatitis due to adhesives,Dermatite alérgica de contato devida a adesivos,L23.1 Dermatite alergica de contato dev adesivos
L232,Allergic contact dermatitis due to cosmetics,Allergic contact dermatitis due to cosmetics,Allergic contact dermatitis due to cosmetics,Allergic contact dermatitis due to cosmetics,Dermatite alérgica de contato devida a cosméticos,L23.2 Dermatite alergica de contato dev cosmeticos
L233,Allergic contact dermatitis due to drugs in contact with skin,Allergic contact dermatitis due to drugs in contact with skin,Allergic contact dermatitis due to drugs in contact with skin,Allergic contact dermatitis due to drugs in contact with skin,Dermatite alérgica de contato devido a drogas em contato com a pele,L23.3 Dermatite alerg contato dev drogas cont pele
L234,Allergic contact dermatitis due to dyes,Allergic contact dermatitis due to dyes,Allergic contact dermatitis due to dyes,Allergic contact dermatitis due to dyes,Dermatite alérgica de contato devida a corantes,L23.4 Dermatite alergica de contato dev corantes
L235,Allergic contact dermatitis due to other chemical products,Allergic contact dermatitis due to other chemical products,Allergic contact dermatitis due to other chemical products,Allergic contact dermatitis due to other chemical products,Dermatite alérgica de contato devida a outros produtos químicos,L23.5 Dermatite alergica contato dev out prod quim
L236,Allergic contact dermatitis due to food in contact with skin,Allergic contact dermatitis due to food in contact with skin,Allergic contact dermatitis due to food in contact with skin,Allergic contact dermatitis due to food in contact with skin,Dermatite alérgica de contato devida a alimentos em contato com a pele,L23.6 Dermatite alergica contat dev alim cont pele
L237,"Allergic contact dermatitis due to plants, except food","Allergic contact dermatitis due to plants, except food","Allergic contact dermatitis due to plants, except food","Allergic contact dermatitis due to plants, except food","Dermatite alérgica de contato devido a plantas, exceto alimentos",L23.7 Dermatite alerg contato dev plantas exc alim
L238,Allergic contact dermatitis due to other agents,Allergic contact dermatitis due to other agents,Allergic contact dermatitis due to other agents,Allergic contact dermatitis due to other agents,Dermatite alérgica de contato devido a outros agentes,L23.8 Dermatite alergica contato dev outr agentes
L239,"Allergic contact dermatitis, unspecified cause","Allergic contact dermatitis, unspecified cause","Allergic contact dermatitis, unspecified cause","Allergic contact dermatitis, unspecified cause","Dermatite alérgica de contato, de causa não especificada",L23.9 Dermatite alergica de contato de causa NE
L24,Irritant contact dermatitis,Irritant contact dermatitis,Irritant contact dermatitis,Irritant contact dermatitis,Dermatites de contato por irritantes,L24   Dermatites de contato p/irritantes
L240,Irritant contact dermatitis due to detergents,Irritant contact dermatitis due to detergents,Irritant contact dermatitis due to detergents,Irritant contact dermatitis due to detergents,Dermatite de contato por irritantes devida a detergentes,L24.0 Dermatite contato p/irrit dev detergentes
L241,Irritant contact dermatitis due to oils and greases,Irritant contact dermatitis due to oils and greases,Irritant contact dermatitis due to oils and greases,Irritant contact dermatitis due to oils and greases,Dermatite de contato por irritantes devido a óleos e gorduras,L24.1 Dermatite contato p/irrit dev oleos gorduras
L242,Irritant contact dermatitis due to solvents,Irritant contact dermatitis due to solvents,Irritant contact dermatitis due to solvents,Irritant contact dermatitis due to solvents,Dermatite de contato por irritantes devida a solventes,L24.2 Dermatite contato p/irritantes dev solventes
L243,Irritant contact dermatitis due to cosmetics,Irritant contact dermatitis due to cosmetics,Irritant contact dermatitis due to cosmetics,Irritant contact dermatitis due to cosmetics,Dermatite de contato por irritantes devida a cosméticos,L24.3 Dermatite contato p/irrit dev cosmeticos
L244,Irritant contact dermatitis due to drugs in contact with skin,Irritant contact dermatitis due to drugs in contact with skin,Irritant contact dermatitis due to drugs in contact with skin,Irritant contact dermatitis due to drugs in contact with skin,Dermatite de contato por irritantes devida a drogas em contato com a pele,L24.4 Dermatite cont p/irrit dev drogas cont pele
L245,Irritant contact dermatitis due to other chemical products,Irritant contact dermatitis due to other chemical products,Irritant contact dermatitis due to other chemical products,Irritant contact dermatitis due to other chemical products,Dermatite de contato por irritantes devida a outros produtos químicos,L24.5 Dermatite contato p/irrit dev outr prod quim
L246,Irritant contact dermatitis due to food in contact with skin,Irritant contact dermatitis due to food in contact with skin,Irritant contact dermatitis due to food in contact with skin,Irritant contact dermatitis due to food in contact with skin,Dermatite de contato por irritantes devida a alimentos em contato com a pele,L24.6 Dermatite contato p/irrit dev alim cont pele
L247,"Irritant contact dermatitis due to plants, except food","Irritant contact dermatitis due to plants, except food","Irritant contact dermatitis due to plants, except food","Irritant contact dermatitis due to plants, except food","Dermatite de contato por irritantes devido a plantas, exceto alimentos",L24.7 Dermatite cont p/irrit dev plantas exc alim
L248,Irritant contact dermatitis due to other agents,Irritant contact dermatitis due to other agents,Irritant contact dermatitis due to other agents,Irritant contact dermatitis due to other agents,Dermatite de contato por irritantes devido a outros agentes,L24.8 Dermatite contato p/irrit dev outr agentes
L249,"Irritant contact dermatitis, unspecified cause","Irritant contact dermatitis, unspecified cause","Irritant contact dermatitis, unspecified cause","Irritant contact dermatitis, unspecified cause","Dermatite de contato por irritantes, de causa não especificada",L24.9 Dermatite contato p/irritantes de causa NE
L25,Unspecified contact dermatitis,Unspecified contact dermatitis,Unspecified contact dermatitis,Unspecified contact dermatitis,Dermatite de contato não especificada,L25   Dermatite de contato NE
L250,Unspecified contact dermatitis due to cosmetics,Unspecified contact dermatitis due to cosmetics,Unspecified contact dermatitis due to cosmetics,Unspecified contact dermatitis due to cosmetics,Dermatite de contato não especificada devida a cosméticos,L25.0 Dermatite de contato NE dev cosmeticos
L251,Unspecified contact dermatitis due to drugs in contact with skin,Unspecified contact dermatitis due to drugs in contact with skin,Unspecified contact dermatitis due to drugs in contact with skin,Unspecified contact dermatitis due to drugs in contact with skin,Dermatite de contato não especificada devida a drogas em contato com a pele,L25.1 Dermatite de contato NE dev drogas cont pele
L252,Unspecified contact dermatitis due to dyes,Unspecified contact dermatitis due to dyes,Unspecified contact dermatitis due to dyes,Unspecified contact dermatitis due to dyes,Dermatite de contato não especificada devida a corantes,L25.2 Dermatite de contato NE dev corantes
L253,Unspecified contact dermatitis due to other chemical products,Unspecified contact dermatitis due to other chemical products,Unspecified contact dermatitis due to other chemical products,Unspecified contact dermatitis due to other chemical products,Dermatite de contato não especificada devida a outros produtos químicos,L25.3 Dermatite de contato NE dev outr prod quim
L254,Unspecified contact dermatitis due to food in contact with skin,Unspecified contact dermatitis due to food in contact with skin,Unspecified contact dermatitis due to food in contact with skin,Unspecified contact dermatitis due to food in contact with skin,Dermatite de contato não especificada devida a alimentos em contato com a pele,L25.4 Dermatite de contato NE dev alim cont pele
L255,"Unspecified contact dermatitis due to plants, except food","Unspecified contact dermatitis due to plants, except food","Unspecified contact dermatitis due to plants, except food","Unspecified contact dermatitis due to plants, except food","Dermatite de contato não especificada devida a plantas, exceto alimentos",L25.5 Dermatite de contato NE dev plantas exc alim
L258,Unspecified contact dermatitis due to other agents,Unspecified contact dermatitis due to other agents,Unspecified contact dermatitis due to other agents,Unspecified contact dermatitis due to other agents,Dermatite de contato não especificada devida a outros agentes,L25.8 Dermatite de contato NE dev outr agentes
L259,"Unspecified contact dermatitis, unspecified cause","Unspecified contact dermatitis, unspecified cause","Unspecified contact dermatitis, unspecified cause","Unspecified contact dermatitis, unspecified cause","Dermatite de contato não especificada, de causa não especificada",L25.9 Dermatite de contato NE de causa NE
L26,Exfoliative dermatitis,Exfoliative dermatitis,Exfoliative dermatitis,Exfoliative dermatitis,Dermatite esfoliativa,L26   Dermatite esfoliativa
L27,Dermatitis due to substances taken internally,Dermatitis due to substances taken internally,Dermatitis due to substances taken internally,Dermatitis due to substances taken internally,Dermatite devida a substâncias de uso interno,L27   Dermatite dev subst de uso interno
L270,Generalized skin eruption due to drugs and medicaments,Generalized skin eruption due to drugs and medicaments,Generalized skin eruption due to drugs and medicaments,Generalized skin eruption due to drugs and medicaments,Erupção cutânea generalizada devida a drogas e medicamentos,L27.0 Erupcao cutanea generaliz dev drogas medic
L271,Localized skin eruption due to drugs and medicaments,Localized skin eruption due to drugs and medicaments,Localized skin eruption due to drugs and medicaments,Localized skin eruption due to drugs and medicaments,Erupção cutânea localizada devida a drogas e medicamentos,L27.1 Erupcao cutanea localizada dev drogas medic
L272,Dermatitis due to ingested food,Dermatitis due to ingested food,Dermatitis due to ingested food,Dermatitis due to ingested food,Dermatite devida à ingestão de alimentos,L27.2 Dermatite dev ingestao de alimentos
L278,Dermatitis due to other substances taken internally,Dermatitis due to other substances taken internally,Dermatitis due to other substances taken internally,Dermatitis due to other substances taken internally,Dermatite devida a outras substâncias de uso interno,L27.8 Dermatite dev outr subst de uso interno
L279,Dermatitis due to unspecified substance taken internally,Dermatitis due to unspecified substance taken internally,Dermatitis due to unspecified substance taken internally,Dermatitis due to unspecified substance taken internally,Dermatite devida a substância não especificada de uso interno,L27.9 Dermatite dev subst NE de uso interno
